Teilnehmer,2019,2020,2021,2022,2023,2024,2025,2026,Gesamt,davon Sonderpunkte
Crazy Horse,0,1411,2792,5141,6421,5410,4291,1920,27386,566
Guido,0,2673,2935,5870,6429,3657,3267,805,25636,454
hartmut,0,2520,2352,2521,2352,2493,2407,712,15357,196
el corredor,0,400,2253,1913,3181,1917,1587,700,11951,332
kunibert,0,1391,1300,1708,1032,1660,987,800,8878,52
Meerkatze,0,2102,1301,1483,2394,1175,360,0,8815,1
mrjasonaut,0,0,0,0,1898,1608,1276,100,4882,0
Wanderbär,0,1108,1235,1141,371,420,200,0,4475,81
Talleyrand,0,1247,1382,721,410,0,0,0,3760,2
Wildfremder,0,0,1391,269,1370,0,200,100,3330,206
myrtel,0,591,49,0,0,100,1301,1100,3141,105
Fritzlore,100,561,601,1277,200,210,10,150,3109,51
Johanna68,0,0,310,681,561,720,532,0,2804,20
Borusse,0,0,100,350,615,869,173,400,2507,80
Luckyboy,0,433,300,289,0,463,555,100,2140,25
Don Uvo,0,700,705,25,98,100,210,0,1838,3
Düren,0,185,677,81,340,300,0,0,1583,20
Che Guevara,0,0,420,0,90,1069,0,0,1579,60
Zugvogel,0,150,150,110,471,399,100,100,1480,10
gfent,0,0,0,0,826,500,100,0,1426,1
doralie,0,0,200,100,630,0,0,100,1030,0
Ohrenkaktus,0,0,0,200,402,0,300,100,1002,0
CaDo,0,627,100,0,0,0,0,200,927,25
Frajo Krafeld,0,505,205,0,100,0,0,0,810,40
EdNo,0,0,668,100,0,0,0,0,768,111
Alma,0,0,0,0,100,320,200,0,620,10
Galileo,161,20,0,320,0,0,100,0,601,1
Helle,0,560,0,0,0,0,0,0,560,0
Gerardo,80,435,0,0,0,0,0,0,515,0
bine,50,305,100,0,0,0,0,0,455,0
el turista,0,434,0,0,0,0,0,0,434,0
Aesculus,0,251,100,0,0,0,0,0,351,1
Ex mago89,0,300,0,0,0,0,0,0,300,0
paix,0,0,200,100,0,0,0,0,300,0
Chupito,100,197,0,0,0,0,0,0,297,0
schruemel,0,0,0,0,250,0,0,0,250,0
Jason,0,0,0,0,0,139,100,0,239,0
Meerkater,0,205,0,0,0,0,0,0,205,0
jochen02,0,0,0,100,100,0,0,0,200,0
Angelagomera,70,100,0,0,0,0,0,0,170,0
Pagurus,0,115,0,0,0,0,0,0,115,0
Bella,100,0,0,0,0,0,0,0,100,0
Ute,0,100,0,0,0,0,0,0,100,0
WiGa,0,100,0,0,0,0,0,0,100,0
Palmeros,0,100,0,0,0,0,0,0,100,0
klauswo,0,100,0,0,0,0,0,0,100,0
marie,0,100,0,0,0,0,0,0,100,0
Ulandra,0,100,0,0,0,0,0,0,100,1
Imada,0,0,100,0,0,0,0,0,100,0
Giovanna,0,0,100,0,0,0,0,0,100,0
Contreras,0,0,0,100,0,0,0,0,100,0
Enriquez,0,0,0,100,0,0,0,0,100,0
Peter,0,0,0,0,100,0,0,0,100,0
Janni,0,0,0,0,100,0,0,0,100,0
brbbrb,0,0,0,0,100,0,0,0,100,0
Arguayoda,0,0,0,0,0,0,0,100,100,0
Chaosdeckel,0,0,0,0,0,0,0,100,100,0
Suseldruse,0,0,0,0,0,0,0,100,100,0
el carpintero,60,0,0,0,0,0,0,0,60,0
Mme. Salieri,0,0,50,0,0,0,0,0,50,0
